artist,popularity,country,danceability,energy,acousticness,instrumentalness,valence,loudness,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False,al_total_tracks_log,track_dur_log,speechiness_log,liveness_log,tempo_log
KÖFN,80,turquía,0.66,0.529,0.0828,0.00144,0.318,-10.502,0.627,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.297,1,0.528,370232,0,1,1,0.0,5.279389356662517,-2.5743938162895366,-2.312635428847547,4.56444193707358
Cairokee,57,egipto,0.68,0.487,0.767,0.000332,0.26,-9.639,0.231,4,0.983,0,0,0,0,0,0,1,0,0,0,0,0.419,0,0.524,1440773,0,0,1,2.4849066497880004,5.488325968823387,-3.1820618517454844,-2.017406150760383,4.521418943525594
陳卓賢 Ian,65,hong_kong,0.411,0.482,0.574,0.0,0.261,-8.081,0.1,4,0.84,0,0,0,0,0,0,0,0,0,1,0,0.547,1,0.54,76564,0,1,1,0.0,5.5565345823452486,-3.0470255679415414,-1.4828052615007343,5.147953673692008
TWICE,72,japón,0.774,0.905,0.143,0.0,0.768,-2.432,0.848,4,0.724,0,0,0,1,0,0,0,0,0,0,0,0.548,0,0.426,16748332,0,0,1,1.9459101490553132,5.1787790412717865,-2.1037342342488805,-1.1026203100656484,4.787191697773044
Rei 6,73,turquía,0.471,0.227,0.873,0.0,0.3,-11.568,0.425,4,0.706,1,0,0,0,0,0,0,0,0,0,0,0.29,1,0.379,184035,0,0,1,2.0794415416798357,5.247313503955273,-2.9206248010671856,-1.8388510767619055,4.761070762424246
Manuel Turizo,81,argentina,0.829,0.747,0.276,0.0,0.576,-3.511,0.842,4,0.99,0,0,0,0,0,0,0,1,0,0,0,0.547,1,0.649,11583371,0,1,1,0.0,5.255441180286532,-1.903808973036678,-1.0817551716016867,4.585273554273635
Eden Ben Zaken,51,israel,0.724,0.546,0.0717,0.0101,0.738,-10.712,0.377,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.812,0,0.652,489942,0,1,1,0.0,5.169972500610814,-2.3687248954985907,-2.071473372030659,5.050189285039657
Keung To,69,hong_kong,0.635,0.389,0.443,0.0,0.667,-13.106,0.247,4,0.975,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.291,94465,0,1,1,0.0,5.532385031860414,-2.752002088631393,-2.1715568305876416,4.381914128345282
Natalie Jane,78,noruega,0.578,0.471,0.155,0.0,0.233,-6.242,0.369,4,1.0,0,0,0,1,0,0,0,0,0,0,0,0.583,0,0.373,403017,0,1,0,1.0986122886681098,5.071027732097369,-3.177254150177381,-2.5523293261054345,4.46580466502758
Wisin & Yandel,89,españa,0.736,0.727,0.0584,1.91e-06,0.644,-4.642,0.119,4,0.994,0,0,0,0,0,1,0,0,0,0,0,0.617,0,0.662,6090369,0,0,1,3.044522437723423,5.4340014404906345,-2.8629511623201727,-2.32687778556309,4.543805290236507
Kevi Jonny,80,brasil,0.774,0.917,0.259,0.0,0.891,-3.007,0.908,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.658,1,0.64,340765,0,1,0,0.0,5.129910549172575,-3.0159349808715104,-1.0356374895067213,4.867557527112391
kizaru,59,bielorrusia,0.853,0.514,0.0847,7.62e-06,0.312,-10.716,0.078,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.853,1,0.631,1079604,0,0,0,2.4849066497880004,5.333660378820033,-0.715392789507265,-2.2256240518579173,5.075248812421467
Lim Young Woong,54,korea_sur,0.381,0.405,0.629,0.0,0.273,-7.325,0.225,4,0.796,0,1,0,0,0,0,0,0,0,0,0,0.553,1,0.572,56575,0,0,1,2.4849066497880004,5.3345817911062365,-3.4265151896464454,-0.8722738464573808,4.874739203012945
Ekhoe,58,hungría,0.571,0.312,0.187,0.0,0.191,-15.002,0.402,4,0.257,0,0,0,0,0,0,1,0,0,0,0,0.639,0,0.685,40054,0,1,1,0.0,5.050099567329962,-2.505926017012076,-2.3528263094307924,5.037101941911282
Lomepal,74,francia,0.739,0.682,0.089,0.000259,0.638,-6.811,0.9,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.333,1,0.38,1782514,0,0,1,2.70805020110221,5.321838561589383,-2.8806194664534863,-0.6424540662444271,4.867403672673772
Gettomasa,53,finlandia,0.711,0.576,0.417,0.000153,0.484,-6.165,0.306,4,0.997,0,0,0,0,0,0,0,0,0,1,0,0.482,0,0.363,100924,0,0,1,2.3978952727983707,5.456414534451127,-1.1208578976154293,-2.1286317858706076,4.610396504959673
ZEG P,77,francia,0.758,0.599,0.57,1.13e-06,0.557,-5.99,0.668,4,1.0,0,0,0,0,1,0,0,0,0,0,0,0.576,0,0.568,8341,0,1,0,0.0,5.389925246745813,-2.4338333796039997,-2.047942874620465,4.8672267108008995
Musketeers,71,tailandia,0.77,0.677,0.526,0.000483,0.942,-6.427,0.644,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.688,1,0.427,258458,0,1,1,0.0,5.508732251005521,-2.831914188324596,-2.05572501506252,4.912522524035452
Eric Chou,64,taiwán,0.455,0.297,0.212,2.14e-06,0.243,-11.63,0.145,4,0.852,0,0,0,0,0,0,0,1,0,0,0,0.598,1,0.692,1200326,0,1,1,0.0,5.683668198802654,-3.6306105459899607,-2.111964733385396,4.5008424701422145
Yuvan Shankar Raja,74,inglaterra,0.602,0.388,0.334,3.7e-05,0.3,-12.098,0.702,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.464,0,0.564,8994783,0,1,1,0.0,5.499906276685672,-2.926206210905381,-2.071473372030659,4.941685278833821
Jairo Vera,73,chile,0.627,0.56,0.149,0.0,0.719,-10.006,0.102,4,0.977,0,0,0,0,0,0,0,1,0,0,0,0.583,1,0.663,381707,0,1,1,0.0,5.67932583422221,-2.954590330222816,-2.3837951484195887,5.181215973520522
LE SSERAFIM,81,korea_sur,0.863,0.62,0.0508,0.00324,0.432,-7.167,0.938,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.977,1,0.666,1644225,0,1,1,1.6094379124341003,5.126561792638799,-2.0024805005437076,-2.047942874620465,4.644112014102709
Молодой Платон,62,bielorrusia,0.843,0.774,0.00813,0.0,0.391,-3.998,0.424,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.16,0,0.414,37890,0,1,0,0.0,5.201294220454312,-2.7936080894638566,-2.706052198439537,4.62479632712327
Azahriah,55,hungría,0.729,0.57,0.283,1.02e-06,0.593,-6.072,0.222,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.645,1,0.433,187908,0,0,1,2.4849066497880004,5.081913552096886,-1.7092582477163114,-2.570464538149647,5.056239435901271
Rasmus Seebach,61,dinamarca,0.835,0.425,0.538,0.0,0.779,-8.806,0.571,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.531,1,0.535,480030,0,0,1,2.4849066497880004,5.374032261195678,-3.3049785239216125,-2.5257286443082556,4.56435860808025
